274.7054953504637, 0.1578116492155442
276.211801601091, 0.5990289538575813
277.83052128083585, 1.0833614136413914
278.37354023330334, 1.6465825104682386
280.1040168368032, 2.1548683751256936
280.55277640250756, 2.753038199122176
281.84162280241196, 3.3230497252421696
282.88750038269654, 3.9399630455833754
284.23271229833557, 4.588878001974102
285.31383992466306, 5.120194209864322
286.5092964497494, 5.750533343048976
287.494683975645, 6.273579947903676
288.34926638466504, 6.6685112400871205
289.3930094482408, 7.223123353987659
290.309890242159, 7.870123695147924
291.3943894129752, 8.499846857804785
292.1629569026962, 9.170362271263118
293.5779898327188, 9.733684109076282
293.8946193488122, 10.165067146192165
295.3127901519236, 10.819975654778261
296.6082977763355, 11.58441167120927
297.48045163881073, 12.040402532209534
298.7868448533492, 12.670754481555171
299.64987281440557, 13.312190323797664
300.5234827517285, 13.81068036941191
301.5725408064181, 14.52042378645143
302.6998727396942, 15.285870372078307
303.57570176051854, 15.8491299173881
304.020507192835, 16.331888473123353
305.0999736857393, 16.81472034922143
305.322905739151, 17.297453272634723
306.71097108206726, 17.751369505157413
308.09396623247994, 18.2681428674571
308.58229749344986, 18.906853715694773
309.6617639863541, 19.389685591792848
310.42941268648764, 20.033383834173804
310.9851548082563, 20.51615520607004
312.1616616955065, 21.045209013821804
313.57924593571516, 21.682997217688946
314.4346692438559, 22.102472252951866
314.87733348313753, 22.52273473698949
316.7796962252722, 23.138308718833127
318.3327787214183, 23.83034985822504
319.2080990698066, 24.37876252681379
320.0687028887859, 24.949443722182572
321.7980556441229, 25.424927268584486
323.08483476745585, 25.934600159780366
325.56394446479686, 26.531566258145478
327.81934320405867, 27.074872382033853
330.13683987948684, 27.758975270794153
333.82960528894705, 28.403011442554654
337.4266665229667, 28.934404885201058
343.4107431046195, 29.498254570016492
351.77172834844527, 29.799571615149752
360.7207389281008, 29.85423959559015
369.0659209910265, 29.69430129819246
376.21800549728675, 29.53010517406659
384.5591941636707, 29.253609615110776
391.10711792651637, 28.865110346788395
396.4482662488182, 28.52493724492263
400.51372418896676, 28.20958725857572
405.38769471146315, 27.848119956214756
411.3352494070233, 27.34598709070428
417.27866954944074, 26.72317695534559
423.2248460606197, 26.180818333219047
426.1881721768449, 25.62470657945859
431.5379164274715, 25.083619906666875
436.3669969254249, 24.526382844297242
440.188924757714, 24.03070867814569
443.4641441727739, 23.64223961224918
445.4887256410682, 23.146357804419708
449.9453145339445, 22.65075695863098
452.90841095277307, 22.087940912101182
455.87242616118886, 21.551942036648764
459.58272821183493, 21.036142176028196
461.8064287103371, 20.65425589774692
464.77274089272083, 20.18529994998796
467.73767489072384, 19.676118245612937
470.7019197965363, 19.146823662929865
473.37503398170327, 18.604086914379337
477.37026492328084, 17.920713314853906
479.59327632959264, 17.518714158264586
482.5577509328021, 16.99612386835087
485.50628660315476, 16.46012320459693
488.48578134963327, 15.924126117446047
491.4516341372233, 15.441761584148395
495.2576230366557, 14.93267704415662
498.6656147002773, 14.403433726117472
502.89734414809107, 13.82065144200529
506.28388414133246, 13.117094723661637
511.0527502217733, 12.474036097128716
514.442735675967, 11.871043770325242
517.4023866338434, 11.20766333225527
520.3682394214334, 10.725298798957619
524.3949532127863, 10.182718427441076
527.0414081935112, 9.639978599037905
530.0040452175459, 9.063753966969422
532.5408884415538, 8.559672796614619
535.9302380552028, 7.938121873909834
538.4851407402841, 7.5093439947260885
541.8564308928597, 6.812489780850247
544.8241212596242, 6.383759589707361
547.7872176784526, 5.820943543177565
550.7484765181066, 5.20449315449301
553.7161668848712, 4.775762963350125
556.6820196724614, 4.293398430052472
559.6515476184004, 3.9183025810643475
562.3590405891039, 3.485422338165625
565.1444532752101, 3.097908125937273
568.5592126666304, 2.7661978630225934
574.0816380155327, 2.355602191942655
579.6036818601083, 1.9338713633219378
586.4115240439764, 1.5413795628036764
592.9596914927109, 1.1599928763604594
598.8426589363718, 0.8962135719401327
605.0190804620285, 0.598227695421064
612.6186647749139, 0.43820326149956873
619.1730340533622, 0.23783247982867683
626.8315251776801, 0.12546385759945164
634.0808545010213, 0.11887794045652833
